"","ScanID","Genotype","Subdirectory","RegType","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t","OrganName","GenotypeRegtype"
"45","Scan_0038","WT/WT","WT","M",12,26085.4907716594,14739.333984375,30678.17578125,7326900.2876657,558,0.120527997612953,14555703.8505859,4.96913794568789,-9.95244512363145,-8.45510905686245,NA,"thymus (left)","WT-M"
"46","Scan_0038","WT/WT","WT","M",13,25916.5155629303,14692.1826171875,30705.974609375,5629674.77308904,472,0.101952001452446,12232595.3457031,5.52559183670304,-10.0494033886214,-8.39086994623735,NA,"thymus (right)","WT-M"
"47","Scan_0038","WT/WT","WT","M",14,21901.6326907637,2800.29150390625,37043.7890625,18786882.7987067,134851,29.127815246582,2953457069.98218,5.22271240536782,-13.2812888996726,-6.00674631273049,NA,"brain","WT-M"
"48","Scan_0038","WT/WT","WT","M",15,19696.2203973373,6317.97607421875,34789.92578125,6521112.24320613,37306,8.05809593200684,734787198.143066,5.38678719810682,-8.46648084333292,-9.69202839123281,NA,"spinal cord","WT-M"
"50","Scan_0044","WT/WT","WT","M",1,27220.5429846429,7700.36181640625,37120.171875,11297002.9500836,6329,1.36706399917603,172278816.549805,4.2824144999347,-7.93650899075963,-9.45248588685011,NA,"lung (left)","WT-M"
"51","Scan_0044","WT/WT","WT","M",2,26816.0233514806,3703.20263671875,43505.296875,19371156.6046666,12823,2.76976799964905,343861867.436035,6.09224298460069,-8.01206202504932,-9.26934195826028,NA,"lung (right)","WT-M"
"52","Scan_0044","WT/WT","WT","M",3,25420.8806604717,10208.3408203125,44105.8828125,17672751.1402935,2774,0.599183976650238,70517522.9521484,4.83121747061599,-5.01636989357664,-8.52881869551948,NA,"kidney (left)","WT-M"
"53","Scan_0044","WT/WT","WT","M",4,26824.8675434615,11085.169921875,38723.04296875,17991541.0809882,2513,0.542807996273041,67410892.1367188,6.20016019985868,-5.02467118253378,-8.52893364213727,NA,"kidney (right)","WT-M"
"54","Scan_0044","WT/WT","WT","M",5,20259.7630605048,4088.10498046875,42786.2734375,78955978.0619132,6831,1.47549605369568,138394441.466309,4.18757703503864,-5.76410166095423,-8.49391521097011,NA,"stomach","WT-M"
"55","Scan_0044","WT/WT","WT","M",6,37293.2049734823,5177.630859375,57159.76953125,32758039.5688903,75844,16.382303237915,2828465838.00879,5.35154266664024,-6.77246978092208,-8.07273884930842,NA,"liver","WT-M"
"56","Scan_0044","WT/WT","WT","M",7,33325.8494582736,21538.490234375,43792.796875,19453796.8075742,349,0.0753839984536171,11630721.4609375,4.84295561213888,-5.46122165873945,-9.18227638594401,NA,"adrenal (left)","WT-M"
"57","Scan_0044","WT/WT","WT","M",8,34988.8942466887,22222.859375,45835.359375,27005936.2602426,302,0.0652320012450218,10566646.0625,6.09138176823295,-5.52289873041064,-9.19924350106953,NA,"adrenal (right)","WT-M"
"58","Scan_0044","WT/WT","WT","M",9,24392.1475997779,9153.587890625,34918.55078125,14833771.1219022,626,0.135215997695923,15269484.3974609,5.46195494386716,-4.31576608965571,-6.4989432662135,NA,"rectum","WT-M"
"59","Scan_0044","WT/WT","WT","M",10,23048.3527005688,7758.46435546875,35764.08203125,31381564.6729381,1817,0.392471998929977,41878856.8569336,5.47735650280378,-5.36360756201211,-6.56562615641808,NA,"bladder","WT-M"
"60","Scan_0044","WT/WT","WT","M",11,22793.5620748023,4888.9853515625,52807.4453125,34130673.5074463,7330,1.58327996730804,167076810.008301,5.08127152546758,-8.62473642906371,-7.94739895403,NA,"heart","WT-M"
"61","Scan_0044","WT/WT","WT","M",12,28558.1826480763,15025.634765625,33146.28515625,6024921.21108875,411,0.0887759998440742,11737413.0683594,4.95699447186323,-9.79748083511407,-8.59347417733967,NA,"thymus (left)","WT-M"
"62","Scan_0044","WT/WT","WT","M",13,29011.1192491319,17106.138671875,33580.26953125,3460579.57086149,378,0.0816479995846748,10966203.0761719,5.47415586683486,-9.82766273755874,-8.50958934360077,NA,"thymus (right)","WT-M"
"63","Scan_0044","WT/WT","WT","M",14,22521.1825203566,3312.8203125,45284.9296875,20957830.9190998,125478,27.1032485961914,2825912940.28931,5.22894459473872,-12.8885296396676,-6.0804298096571,NA,"brain","WT-M"
